algorithm,seed,reference_productivity,reference_process_yield,HV
MOEAD_PBI,83,0.2,0.1,0.19203827347029118
MOEAD_PBI,89,0.0,0.0,0.35336853481507935
MOEAD_PBI,89,0.05,0.02,0.31482429316808797
MOEAD_PBI,89,0.1,0.05,0.2682137692092145
MOEAD_PBI,89,0.2,0.1,0.19305900360334963
MOEAD_PBI,97,0.0,0.0,0.3540137075300325
MOEAD_PBI,97,0.05,0.02,0.3153787634742758
MOEAD_PBI,97,0.1,0.05,0.2687162630107108
MOEAD_PBI,97,0.2,0.1,0.1934188184913889
MOEAD_PBI,101,0.0,0.0,0.3475897869322884
MOEAD_PBI,101,0.05,0.02,0.3096969940511191
MOEAD_PBI,101,0.1,0.05,0.2639198377169855
MOEAD_PBI,101,0.2,0.1,0.1902498885016826
MOEAD_PBI,103,0.0,0.0,0.3438740371791921
MOEAD_PBI,103,0.05,0.02,0.30620968436169854
MOEAD_PBI,103,0.1,0.05,0.26092557766266716
MOEAD_PBI,103,0.2,0.1,0.18797711814614232
MOEAD_PBI,107,0.0,0.0,0.35089581036597417
MOEAD_PBI,107,0.05,0.02,0.31257888986532956
MOEAD_PBI,107,0.1,0.05,0.26627839362998235
MOEAD_PBI,107,0.2,0.1,0.19166097689399056
MOEAD_PBI,109,0.0,0.0,0.34944672006381666
MOEAD_PBI,109,0.05,0.02,0.3113310578654491
MOEAD_PBI,109,0.1,0.05,0.26533000189318073
MOEAD_PBI,109,0.2,0.1,0.1912132837225445
MOEAD_PBI,113,0.0,0.0,0.35125650843453726
MOEAD_PBI,113,0.05,0.02,0.31291928597247143
MOEAD_PBI,113,0.1,0.05,0.266608663278732
MOEAD_PBI,113,0.2,0.1,0.19196081812292698
MOEAD_WS,2,0.0,0.0,0.35044127038038025
MOEAD_WS,2,0.05,0.02,0.3115791343344854
MOEAD_WS,2,0.1,0.05,0.26462828240761593
MOEAD_WS,2,0.2,0.1,0.18881529443485176
MOEAD_WS,3,0.0,0.0,0.3482855782172486
MOEAD_WS,3,0.05,0.02,0.30942563648952653
MOEAD_WS,3,0.1,0.05,0.26247417528399347
MOEAD_WS,3,0.2,0.1,0.1866627723507381
MOEAD_WS,5,0.0,0.0,0.34972022160969857
MOEAD_WS,5,0.05,0.02,0.31088801982165143
MOEAD_WS,5,0.1,0.05,0.2639796327979758
MOEAD_WS,5,0.2,0.1,0.18823904398625277
MOEAD_WS,7,0.0,0.0,0.34755734905881175
MOEAD_WS,7,0.05,0.02,0.30873350866239113
MOEAD_WS,7,0.1,0.05,0.2618309695731164
MOEAD_WS,7,0.2,0.1,0.18610459008742095
MOEAD_WS,11,0.0,0.0,0.35111546119464443
MOEAD_WS,11,0.05,0.02,0.3122863542307561
MOEAD_WS,11,0.1,0.05,0.2653657702234734
MOEAD_WS,11,0.2,0.1,0.18961607925230226
MOEAD_WS,13,0.0,0.0,0.3508054550246875
MOEAD_WS,13,0.05,0.02,0.31195018868910096
MOEAD_WS,13,0.1,0.05,0.2650045822853236
MOEAD_WS,13,0.2,0.1,0.18920370954595989
MOEAD_WS,17,0.0,0.0,0.35112497744672216
MOEAD_WS,17,0.05,0.02,0.3122661090905325
MOEAD_WS,17,0.1,0.05,0.2653182195896873
MOEAD_WS,17,0.2,0.1,0.18951146173265246
MOEAD_WS,19,0.0,0.0,0.35009137501305193
MOEAD_WS,19,0.05,0.02,0.3112385299746244
MOEAD_WS,19,0.1,0.05,0.2643000469708975
MOEAD_WS,19,0.2,0.1,0.1885087189287431
MOEAD_WS,23,0.0,0.0,0.3524957982988987
MOEAD_WS,23,0.05,0.02,0.3136312242081901
