algorithm,seed,HV,Spacing,n_non_dominated,time_seconds,n_function_evaluations,n_feasible_evaluations,n_infeasible_evaluations,IGD_plus,Epsilon
MOEAD_PBI,83,0.3514445702504421,0.009409653336255803,79,234.00969229999464,10000,7693,2307,0.009267066913886162,0.022382178842114353
MOEAD_PBI,89,0.3533685348150793,0.014955813388493125,71,236.66415450000204,10000,7924,2076,0.002345504011501353,0.010907293205938084
MOEAD_PBI,97,0.35401370753003264,0.012986673407879002,73,235.08556300000055,10000,7668,2332,0.003577912999710133,0.011325569055503443
MOEAD_PBI,101,0.34758978693228815,0.006984061056091125,71,233.86035149998497,10000,7849,2151,0.016178129369046088,0.020723392449051303
MOEAD_PBI,103,0.34387403717919207,0.008967051405905433,72,236.30015030002687,10000,8017,1983,0.009399302980874989,0.0471843495917057
MOEAD_PBI,107,0.35089581036597417,0.008169005198512496,73,232.40205909998622,10000,7695,2305,0.008568999531066157,0.019594546756709685
MOEAD_PBI,109,0.3494467200638166,0.007720443284554778,75,235.6967791999923,10000,7826,2174,0.010545784375773935,0.02062036035539605
MOEAD_PBI,113,0.35125650843453715,0.016624673577660256,67,236.59560060000513,10000,7958,2042,0.00679043948964851,0.011819714578134466
MOEAD_WS,2,0.3504412703803805,0.032167431737219046,94,222.614525699988,10000,7769,2231,0.005783431780983806,0.03280221887817886
MOEAD_WS,3,0.34828557821724854,0.033256935133718864,96,223.24383549997583,10000,7884,2116,0.008569170149645824,0.04479364165793087
MOEAD_WS,5,0.34972022160969857,0.03155919303928696,100,221.17099589999998,10000,7788,2212,0.006466765313214544,0.03515368285013909
MOEAD_WS,7,0.34755734905881175,0.03457511343509507,100,220.79740840004524,10000,7789,2211,0.0082833277362036,0.04140094012601636
MOEAD_WS,11,0.3511154611946445,0.02879147305271613,94,227.53336190001573,10000,7867,2133,0.006506401537879589,0.02899153248950337
MOEAD_WS,13,0.3508054550246875,0.03016494165703577,100,224.24021840002388,10000,7854,2146,0.005787699210966526,0.02687675129179501
MOEAD_WS,17,0.3511249774467221,0.029501417293438345,100,224.12633860000642,10000,7776,2224,0.005490891447889406,0.029121319367393816
MOEAD_WS,19,0.35009137501305193,0.03209938229568631,100,223.94109340000432,10000,7856,2144,0.00640090983710142,0.029999128412422138
MOEAD_WS,23,0.3524957982988987,0.024988983865054923,99,222.85503139998764,10000,7810,2190,0.005221203959899014,0.02804589550753467
